"274","Koppenbergweiher","0,01","Oberbayern","Weilheim-Schongau","47.73518,11.28131","BY","0"
"275","Korbsee","0,09","Schwaben","Ostallgäu","47.79327,10.69429","BY","0"
"276","Kratzmühlsee","0,1","Oberbayern","Eichstätt","49.00164,11.4469","BY","0"
"277","Kreutsee","0,02","Oberbayern","Rosenheim","47.62763,12.18552","BY","0"
"278","Krugsweiher","0,04","Mittelfranken","Nürnberger Land","49.37056,11.19201","BY","0"
"279","Kuhsee","0,17","Schwaben","Augsburg","48.33831,10.94011","BY","0"
"280","Lachenweiher","0,01","Oberbayern","Weilheim-Schongau","47.84882,11.25463","BY","0"
"281","Langbürgner See","1,04","Oberbayern","Rosenheim","47.90075,12.35001","BY","0"
"282","Langsee","0,01","Mittelfranken","Nürnberg","49.47044,11.13648","BY","0"
"283","Langwieder See","0,2","Oberbayern","München","48.19504,11.41514","BY","0"
"284","Latschensee","0,01","Niederbayern","Regen","49.02545,13.39774","BY","0"
"285","Lauser Weiher","0,06","Oberbayern","Rosenheim","47.938889,11.859167","BY","0"
"286","Lautersee","0,12","Oberbayern","Garmisch-Partenkirchen","47.43802,11.23524","BY","0"
"287","Lechstaustufe","2","Oberbayern","Schwaben","47.67227,10.78463","BY","0"
"288","Lechstaustufe 6 – Dornau","2,04","Oberbayern","Weilheim-Schongau","47.79505,10.88788","BY","0"
"289","Lechstaustufe 10 – Epfach","0,52","Oberbayern","Landsberg am Lech","47.90438,10.91423","BY","0"
"290","Lechstaustufe 22 – Unterbergen","0,3","Oberbayern","Schwaben","48.23531,10.9253","BY","0"
"291","Leitgeringer See","0,15","Oberbayern","Traunstein","48.07343,12.73642","BY","0"
"292","Lerchenauer See","0,08","Oberbayern","München","48.19779,11.53749","BY","0"
"293","Lobentalstausee","0,03","Schwaben","Ostallgäu","47.58642,10.8322","BY","0"
"294","Lödensee","0,1","Oberbayern","Traunstein","47.69388,12.59402","BY","0"
"295","Loidlsee","0,02","Oberbayern","Miesbach","47.76014,11.86065","BY","0"
"296","Luegsteinsee","0,01","Oberbayern","Rosenheim","47.64134,12.17123","BY","0"
"297","Lugenausee","0,06","Oberbayern","Weilheim-Schongau","47.76472,10.99564","BY","0"
"298","Lußsee","0,2","Oberbayern","München","48.19828,11.41849","BY","0"
"299","Lustsee","0,06","Oberbayern","Weilheim-Schongau","47.81028,11.29524","BY","0"
"300","Mainparksee","0,24","Unterfranken","Aschaffenburg","49.98782,9.06964","BY","0"
"301","Maisinger See","0,1","Oberbayern","Starnberg","47.98033,11.28084","BY","0"
"302","Maistättenweiher","0,03","Oberbayern","Starnberg","47.89795,11.20518","BY","0"
"303","Mallertshofer See","0,06","Oberbayern","München","48.2646,11.60152","BY","0"
"304","Mammendorfer See","0,04","Oberbayern","Fürstenfeldbruck","48.20106,11.16954","BY","0"
"305","Mandichosee","1,6","Schwaben","Aichach-Friedberg","48.26348,10.935","BY","0"
"306","Mandlachsee","0,01","Schwaben","Aichach-Friedberg","48.55258,11.06688","BY","0"
"307","Mantaweiher","0,014","Mittelfranken","Nürnberger Land","49.33955,11.32718","BY","0"
